,round,tube,sp_div_H,tot_pop_0,tot_final_pop,tot_auc,mean_fc,deg_score,nut_score
0,0.0,0.0,0.6574579798886051,40.0,454.0,21078.0,11.34998865001135,0.45716198641553263,0.59758266632575
1,0.0,1.0,0.6515269240884397,40.0,315.0,27727.0,7.874992125007875,0.31948993414674,0.5117568885786651
2,0.0,2.0,0.6515983722292539,40.0,857.0,48863.0,21.424978575021427,0.47291253037340186,0.9953960421678156
3,0.0,3.0,0.8483658621600583,40.0,266.0,21006.0,6.64999335000665,0.41371254878278807,0.43630573719635324
4,0.0,4.0,0.4859898720235425,40.0,499.0,55179.0,12.474987525012473,0.3166819345266273,0.999733418853307
5,0.0,5.0,0.2291532495218384,40.0,249.0,22768.0,6.224993775006224,0.2587160402176638,0.46470026508818374
6,0.0,6.0,0.5863403210595082,40.0,747.0,46075.0,18.674981325018678,0.4564883466715821,0.9996830993042722
7,0.0,7.0,0.27014255802150744,40.0,663.0,39394.0,16.574983425016576,0.3875753576362039,0.7242958535010822
8,0.0,8.0,1.0809395673768747,40.0,571.0,43467.0,14.274985725014274,0.3944856819780661,0.9997236335151689
9,0.0,9.0,0.5732570974277555,40.0,611.0,36210.0,15.274984725015276,0.4618818347172534,0.6535551883145481
10,0.0,10.0,0.8913342178258888,40.0,88.0,4630.0,2.1999978000022002,0.45243450718884404,0.3959877522389509
11,0.0,11.0,1.1977695437149602,40.0,483.0,49969.0,12.074987925012076,0.2727571218184651,0.6178395881701377
12,0.0,12.0,0.7163207603949429,40.0,404.0,32873.0,10.0999899000101,0.34696787428203857,0.6359008778129414
13,0.0,13.0,0.7604063000351277,40.0,686.0,45443.0,17.14998285001715,0.5076216712540389,0.7458856585602951
14,0.0,14.0,0.675443013235013,40.0,461.0,27588.0,11.524988475011526,0.42389955779512745,0.5103578256279652
15,0.0,15.0,0.8790177746613175,40.0,299.0,13053.0,7.474992525007475,0.5281533705615704,0.7471517701687639
16,0.0,16.0,1.1359888080491967,40.0,558.0,44580.0,13.949986050013951,0.40419983287929584,0.9997291707076373
17,0.0,17.0,0.8715694469765503,40.0,584.0,51040.0,14.5999854000146,0.3539049756740752,0.9997838355342169
18,0.0,18.0,0.6475231901507397,40.0,310.0,14578.0,7.74999225000775,0.4918261693725906,0.7573542349680851
19,0.0,19.0,0.5600567711078176,40.0,209.0,16818.0,5.224994775005225,0.3514002510735078,0.4596307772736026
20,0.0,20.0,1.1003021128327028,40.0,553.0,53684.0,13.824986175013827,0.35598964863772165,0.7962037458119646
21,1.0,0.0,0.4914276690859828,8.0,282.0,6964.0,31.444339074428083,0.30894091026857673,0.4759746476167136
22,1.0,1.0,0.14215291018774845,7.0,311.0,9562.0,39.291567048864785,0.2730734641101835,0.5163612670590448
23,1.0,2.0,0.6543882366890014,14.0,288.0,7658.0,18.374950312661717,0.4135596216129883,0.5600922036513428
24,1.0,3.0,1.1480269812549995,27.0,571.0,38373.0,28.098884309026587,0.4299863411057132,0.9998073524791451
25,1.0,4.0,0.632420748383457,20.0,876.0,43025.0,32.16662634265104,0.427999164130096,0.9918020737932783
26,1.0,5.0,0.6104742598139976,18.0,886.0,46731.0,57.3411373732792,0.43857929884943625,0.7839758034083619
27,1.0,6.0,-0.0,5.0,252.0,6689.0,50.3998992002016,0.21726432520804018,0.3943368186503525
28,1.0,7.0,-0.0,6.0,236.0,6602.0,29.499926250184377,0.22638869488235547,0.42277612034530954
