,round,tube,nut,amount
0,0.0,0.0,0.0,0.20958355512908353
1,0.0,0.0,1.0,0.027246200760595876
2,0.0,0.0,2.0,2000.0
3,0.0,0.0,3.0,0.13499217185340529
4,0.0,1.0,0.0,0.32222265861541405
5,0.0,1.0,1.0,0.002557100422066916
6,0.0,1.0,2.0,0.12402180647457417
7,0.0,1.0,3.0,0.524183245926749
8,0.0,2.0,0.0,47.448012690539215
9,0.0,2.0,1.0,0.45191218386223575
10,0.0,2.0,2.0,0.862985734702238
11,0.0,2.0,3.0,0.05744737787760443
12,0.0,3.0,0.0,1943.5186450801316
13,0.0,3.0,1.0,1925.199263048911
14,0.0,3.0,2.0,0.40082682270265724
15,0.0,3.0,3.0,0.02340896461479017
16,0.0,4.0,0.0,0.8768835955028198
17,0.0,4.0,1.0,0.8276970813869425
18,0.0,4.0,2.0,0.18085270251877716
19,0.0,4.0,3.0,0.182241507912007
20,0.0,5.0,0.0,2000.0
21,0.0,5.0,1.0,0.2607952243013384
22,0.0,5.0,2.0,0.8974570872115315
23,0.0,5.0,3.0,586.9969527166024
24,0.0,6.0,0.0,0.10574697225729296
25,0.0,6.0,1.0,0.8136627897896483
26,0.0,6.0,2.0,0.1658704295195088
27,0.0,6.0,3.0,0.12395797466991455
28,0.0,7.0,0.0,0.07518673488909113
29,0.0,7.0,1.0,1959.11514175962
30,0.0,7.0,2.0,0.35409876429591236
31,0.0,7.0,3.0,0.6180710731242024
32,0.0,8.0,0.0,1915.9313114634256
33,0.0,8.0,1.0,0.10607780503692568
34,0.0,8.0,2.0,0.5285890299248361
35,0.0,8.0,3.0,932.8131954758284
36,0.0,9.0,0.0,0.06683930091549861
37,0.0,9.0,1.0,0.02677930932334216
38,0.0,9.0,2.0,0.5610110927650555
39,0.0,9.0,3.0,0.4174601185679886
40,0.0,10.0,0.0,0.22711348739693624
41,0.0,10.0,1.0,0.9802337537572257
42,0.0,10.0,2.0,0.11891718486390346
43,0.0,10.0,3.0,0.13058206404068848
44,0.0,11.0,0.0,0.03966388406864605
45,0.0,11.0,1.0,31.737955045306496
46,0.0,11.0,2.0,0.13034852249930118
47,0.0,11.0,3.0,1870.3696413530083
48,0.0,12.0,0.0,0.25785246288239705
49,0.0,12.0,1.0,9.68801717366236
50,0.0,12.0,2.0,0.05333248439239879
51,0.0,12.0,3.0,0.6669514074801484
52,0.0,13.0,0.0,0.3212910135018109
53,0.0,13.0,1.0,14.599955651955094
54,0.0,13.0,2.0,0.18074129689442087
55,0.0,13.0,3.0,0.1043851699161902
56,0.0,14.0,0.0,0.12025196250177414
57,0.0,14.0,1.0,0.051702690684149344
58,0.0,14.0,2.0,0.14046679081351598
59,0.0,14.0,3.0,0.4387089745287719
60,0.0,15.0,0.0,0.19626213090946165
61,0.0,15.0,1.0,0.9380856095181078
62,0.0,15.0,2.0,0.10706505093687291
63,0.0,15.0,3.0,0.060943465122721543
64,0.0,16.0,0.0,1083.003588057275
65,0.0,16.0,1.0,2000.0
66,0.0,16.0,2.0,0.06315435548835069
67,0.0,16.0,3.0,0.33019969777455316
68,0.0,17.0,0.0,0.7847882158830793
69,0.0,17.0,1.0,2000.0
70,0.0,17.0,2.0,0.10886265232784248
71,0.0,17.0,3.0,0.34635151345721593
72,0.0,18.0,0.0,0.9299299372062663
73,0.0,18.0,1.0,2000.0
74,0.0,18.0,2.0,0.14470246621937904
75,0.0,18.0,3.0,0.06787029585121704
76,0.0,19.0,0.0,0.14462018978972635
77,0.0,19.0,1.0,0.3111570174757511
78,0.0,19.0,2.0,0.20705290026849016
79,0.0,19.0,3.0,0.05531754114739634
80,0.0,20.0,0.0,228.64065903956126
81,0.0,20.0,1.0,36.89601991630132
82,0.0,20.0,2.0,0.05185624581243031
83,0.0,20.0,3.0,0.08592837825318811
84,1.0,0.0,0.0,0.45398276237021884
85,1.0,0.0,1.0,8.740971648232875
86,1.0,0.0,2.0,0.794151434364862
87,1.0,0.0,3.0,0.03169811134032424
88,1.0,1.0,0.0,0.09416300613771354
89,1.0,1.0,1.0,3.465777872001342
90,1.0,1.0,2.0,5.941423287185791
91,1.0,1.0,3.0,0.060170470540884785
92,1.0,2.0,0.0,0.09096529331269562
93,1.0,2.0,1.0,6.02628148307389
94,1.0,2.0,2.0,570.3724959668979
95,1.0,2.0,3.0,0.1347643262358471
96,1.0,3.0,0.0,0.906660482215999
97,1.0,3.0,1.0,0.38298872984168864
98,1.0,3.0,2.0,0.14159706114046597
99,1.0,3.0,3.0,0.2279018550645575
100,1.0,4.0,0.0,0.5792669942959161
101,1.0,4.0,1.0,0.4529118818629503
102,1.0,4.0,2.0,0.22734907666600168
103,1.0,4.0,3.0,0.24759314255454276
104,1.0,5.0,0.0,0.026682230737218992
105,1.0,5.0,1.0,0.42015311001425126
106,1.0,5.0,2.0,0.17286181475507456
107,1.0,5.0,3.0,0.8650324847167722
108,1.0,6.0,0.0,195.76551021547246
109,1.0,6.0,1.0,0.46222920535101786
110,1.0,6.0,2.0,0.8666614389723849
111,1.0,6.0,3.0,0.08513950307300996
112,1.0,7.0,0.0,195.78216170289755
113,1.0,7.0,1.0,0.48068316921265286
114,1.0,7.0,2.0,0.8323640393220365
115,1.0,7.0,3.0,0.06770205574222488
116,1.0,8.0,0.0,161.35519962927108
117,1.0,8.0,1.0,0.42285758213813274
118,1.0,8.0,2.0,0.08764109425850941
119,1.0,8.0,3.0,0.12138945922321451
120,1.0,9.0,0.0,0.022473855762717015
121,1.0,9.0,1.0,0.6567738736723052
122,1.0,9.0,2.0,0.5326164641815648
123,1.0,9.0,3.0,0.09013032693935422
124,1.0,10.0,0.0,0.18581135097407087
125,1.0,10.0,1.0,1830.6708161988486
126,1.0,10.0,2.0,0.24439722769596386
127,1.0,10.0,3.0,0.20822759333396743
128,1.0,11.0,0.0,0.3923791036454627
129,1.0,11.0,1.0,0.6181559487561009
130,1.0,11.0,2.0,0.4322677557210884
131,1.0,11.0,3.0,0.1054340573821615
132,1.0,12.0,0.0,0.05726273130157733
133,1.0,12.0,1.0,0.4146010153858497
134,1.0,12.0,2.0,0.04087083754803854
135,1.0,12.0,3.0,0.02742197738865257
136,1.0,13.0,0.0,0.00599696221942253
137,1.0,13.0,1.0,0.7674346394581374
138,1.0,13.0,2.0,0.20872232300087035
139,1.0,13.0,3.0,0.0067630614304553666
140,1.0,14.0,0.0,0.19144998737712884
141,1.0,14.0,1.0,5.0779938393719455
142,1.0,14.0,2.0,0.3490383979026088
143,1.0,14.0,3.0,0.06566872009609502
144,1.0,15.0,0.0,0.068463349941986
145,1.0,15.0,1.0,0.026368672084890132
146,1.0,15.0,2.0,0.2496684718909672
147,1.0,15.0,3.0,393.44962482696184
