,round,tube,sp,st,final_pop
0,0,0,11,"(0.0, 0.0, 0.12549893843504287, 0.01650583712158267, 0.0, 0.030645849071221472, 0.10017363145232248, 0.07493237198817597, 0.06352455901408263, 0.0)",95
1,0,0,11,"(0.0, 0.0, 0.09864539577037362, 0.01650583712158267, 0.0, 0.030645849071221472, 0.10017363145232248, 0.07493237198817597, 0.035887055561544944, 0.0)",166
2,0,0,11,"(0.0, 0.0, 0.08174102492970295, 0.0187361663707757, 0.0, 0.023388760166695548, 0.16773790467281977, 0.08028238650273146, 0.026121609841380632, 0.0)",122
3,0,0,11,"(0.0, 0.0, 0.08174102492970295, 0.0187361663707757, 0.0, 0.023388760166695548, 0.1607576343082118, 0.08028238650273146, 0.026121609841380632, 0.0)",219
4,0,1,11,"(0.0, 0.0, 0.12549893843504287, 0.01650583712158267, 0.0, 0.030645849071221472, 0.10017363145232248, 0.07493237198817597, 0.06352455901408263, 0.0)",90
5,0,1,11,"(0.0, 0.0, 0.08174102492970295, 0.0187361663707757, 0.0, 0.023388760166695548, 0.16773790467281977, 0.08028238650273146, 0.026121609841380632, 0.0)",258
6,0,1,11,"(0.0, 0.0, 0.08174102492970295, 0.0187361663707757, 0.0, 0.023388760166695548, 0.1607576343082118, 0.08028238650273146, 0.026121609841380632, 0.0)",21
7,0,1,11,"(0.0, 0.0, 0.09864539577037362, 0.01650583712158267, 0.0, 0.030645849071221472, 0.10017363145232248, 0.07493237198817597, 0.035887055561544944, 0.0)",214
8,0,2,11,"(0.0, 0.0, 0.12549893843504287, 0.01650583712158267, 0.0, 0.030645849071221472, 0.10017363145232248, 0.07493237198817597, 0.06352455901408263, 0.0)",64
9,0,2,11,"(0.0, 0.0, 0.08174102492970295, 0.0187361663707757, 0.0, 0.023388760166695548, 0.16773790467281977, 0.08028238650273146, 0.026121609841380632, 0.0)",86
10,0,2,11,"(0.0, 0.0, 0.09864539577037362, 0.01650583712158267, 0.0, 0.030645849071221472, 0.10017363145232248, 0.07493237198817597, 0.035887055561544944, 0.0)",312
11,0,2,11,"(0.0, 0.0, 0.08174102492970295, 0.0187361663707757, 0.0, 0.023388760166695548, 0.1607576343082118, 0.08028238650273146, 0.026121609841380632, 0.0)",108
