,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,3.0,10.0,22.0,-0.0,2307.0,2.1999978000022002
1,0.0,0.0,4.0,10.0,117.0,0.16823666658836453,6303.0,11.6999883000117
2,0.0,0.0,13.0,10.0,1472.0,0.1901024023061558,108490.0,147.1998528001472
3,0.0,0.0,14.0,10.0,4.0,-0.0,511.0,0.3999996000004
4,0.0,1.0,1.0,10.0,295.0,0.26079957826393074,36694.0,29.4999705000295
5,0.0,1.0,6.0,10.0,80.0,0.25050128188786847,13232.0,7.9999920000080005
6,0.0,1.0,7.0,10.0,25.0,-0.0,2524.0,2.4999975000025
7,0.0,1.0,9.0,10.0,10.0,-0.0,1388.0,0.9999990000010001
8,0.0,2.0,1.0,10.0,395.0,0.13279413687952718,54287.0,39.4999605000395
9,0.0,2.0,2.0,10.0,16.0,-0.0,1821.0,1.5999984000016
10,0.0,2.0,6.0,10.0,72.0,0.07319012915586921,11308.0,7.1999928000072
11,0.0,2.0,7.0,10.0,17.0,-0.0,1574.0,1.6999983000017
12,0.0,3.0,0.0,10.0,171.0,0.13528191302477682,21803.0,17.0999829000171
13,0.0,3.0,6.0,10.0,242.0,0.16003578584310782,21231.0,24.199975800024202
14,0.0,3.0,7.0,10.0,70.0,0.12974069471942834,5741.0,6.9999930000070005
15,0.0,3.0,9.0,10.0,46.0,-0.0,3530.0,4.5999954000046
16,0.0,4.0,0.0,10.0,172.0,0.31234723113316104,19218.0,17.1999828000172
17,0.0,4.0,10.0,10.0,82.0,0.13157131099705155,8668.0,8.1999918000082
18,0.0,4.0,12.0,10.0,0.0,,283.0,0.0
19,0.0,4.0,13.0,10.0,1453.0,0.16311828347004415,99618.0,145.29985470014532
20,0.0,5.0,2.0,10.0,134.0,0.08791551800015804,10216.0,13.399986600013401
21,0.0,5.0,3.0,10.0,26.0,-0.0,2394.0,2.5999974000026
22,0.0,5.0,5.0,10.0,203.0,0.24900445960075396,15306.0,20.2999797000203
23,0.0,5.0,13.0,10.0,972.0,0.07476699054207103,70614.0,97.1999028000972
24,0.0,6.0,1.0,10.0,235.0,0.027478531192234992,26927.0,23.4999765000235
25,0.0,6.0,8.0,10.0,449.0,0.16647117368682507,42039.0,44.8999551000449
26,0.0,6.0,11.0,10.0,95.0,0.11670054567156393,22159.0,9.4999905000095
27,0.0,6.0,13.0,10.0,358.0,0.07294247910886777,37262.0,35.7999642000358
28,0.0,7.0,0.0,10.0,199.0,0.06319862089844351,19706.0,19.8999801000199
29,0.0,7.0,5.0,10.0,119.0,0.0853365625866777,11007.0,11.8999881000119
30,0.0,7.0,6.0,10.0,276.0,0.1795300409239836,22076.0,27.5999724000276
31,0.0,7.0,7.0,10.0,197.0,0.31122632467963124,12080.0,19.6999803000197
32,0.0,8.0,6.0,10.0,10.0,-0.0,3591.0,0.9999990000010001
33,0.0,8.0,8.0,10.0,478.0,0.11295758735142811,44583.0,47.799952200047805
34,0.0,8.0,12.0,10.0,0.0,,150.0,0.0
35,0.0,8.0,13.0,10.0,489.0,0.18868206273673288,52117.0,48.8999511000489
36,0.0,9.0,0.0,10.0,214.0,0.29507654082796597,20513.0,21.399978600021402
37,0.0,9.0,3.0,10.0,157.0,0.14514200704154043,8715.0,15.6999843000157
38,0.0,9.0,10.0,10.0,228.0,0.028189251900588123,17215.0,22.799977200022802
39,0.0,9.0,14.0,10.0,1.0,-0.0,287.0,0.0999999000001
40,0.0,10.0,2.0,10.0,220.0,0.19556273579056527,15795.0,21.999978000022
41,0.0,10.0,3.0,10.0,102.0,0.05509857601988668,5620.0,10.1999898000102
42,0.0,10.0,5.0,10.0,746.0,0.5860287951385803,43749.0,74.5999254000746
43,0.0,10.0,9.0,10.0,13.0,-0.0,1576.0,1.2999987000013
44,0.0,11.0,4.0,10.0,105.0,0.3652529448489472,4010.0,10.4999895000105
45,0.0,11.0,7.0,10.0,123.0,0.2636993819536467,10769.0,12.2999877000123
46,0.0,11.0,12.0,10.0,3.0,-0.0,326.0,0.2999997000003
47,0.0,11.0,14.0,10.0,6.0,-0.0,627.0,0.5999994000006
48,0.0,12.0,1.0,10.0,485.0,0.22501925001833978,60942.0,48.4999515000485
49,0.0,12.0,6.0,10.0,47.0,0.10296666046541245,8140.0,4.699995300004701
50,0.0,12.0,10.0,10.0,18.0,-0.0,1489.0,1.7999982000018
51,0.0,12.0,14.0,10.0,2.0,-0.0,369.0,0.1999998000002
52,0.0,13.0,6.0,10.0,43.0,0.41763147583118515,6748.0,4.2999957000043
53,0.0,13.0,10.0,10.0,40.0,-0.0,4742.0,3.9999960000040002
54,0.0,13.0,13.0,10.0,837.0,0.1481042066382999,79227.0,83.6999163000837
55,0.0,13.0,14.0,10.0,1.0,-0.0,360.0,0.0999999000001
56,0.0,14.0,1.0,10.0,143.0,0.08329816492199307,19780.0,14.2999857000143
57,0.0,14.0,8.0,10.0,375.0,0.1703904019803793,40027.0,37.499962500037505
58,0.0,14.0,13.0,10.0,425.0,0.0751413675067269,43867.0,42.4999575000425
59,0.0,14.0,14.0,10.0,2.0,-0.0,534.0,0.1999998000002
60,0.0,15.0,0.0,10.0,143.0,0.04167370592858542,20049.0,14.2999857000143
61,0.0,15.0,1.0,10.0,737.0,0.14778423091593462,71205.0,73.6999263000737
62,0.0,15.0,3.0,10.0,29.0,0.14999492361041503,3022.0,2.8999971000029
63,0.0,15.0,7.0,10.0,33.0,0.22863187358286127,3047.0,3.2999967000033
64,0.0,16.0,2.0,10.0,194.0,0.2334714964974536,14839.0,19.3999806000194
65,0.0,16.0,5.0,10.0,160.0,0.5692855605536999,13800.0,15.999984000016001
66,0.0,16.0,9.0,10.0,36.0,-0.0,3318.0,3.5999964000036
67,0.0,16.0,11.0,10.0,48.0,0.10126481756679193,17220.0,4.7999952000048
68,0.0,17.0,4.0,10.0,69.0,0.13119781096951133,5012.0,6.8999931000069
69,0.0,17.0,7.0,10.0,30.0,-0.0,3011.0,2.9999970000030003
70,0.0,17.0,8.0,10.0,929.0,0.27389145044048324,79411.0,92.8999071000929
71,0.0,17.0,9.0,10.0,17.0,-0.0,1616.0,1.6999983000017
72,0.0,18.0,0.0,10.0,160.0,0.23614389215575032,22528.0,15.999984000016001
73,0.0,18.0,3.0,10.0,22.0,-0.0,1947.0,2.1999978000022002
74,0.0,18.0,10.0,10.0,81.0,0.26515264253992443,7604.0,8.099991900008101
75,0.0,18.0,13.0,10.0,1410.0,0.28291984472679726,98422.0,140.99985900014102
76,0.0,19.0,8.0,10.0,765.0,0.4083958987965817,78325.0,76.4999235000765
77,0.0,19.0,9.0,10.0,14.0,-0.0,1973.0,1.3999986000014
78,0.0,19.0,12.0,10.0,0.0,,235.0,0.0
79,0.0,19.0,14.0,10.0,5.0,-0.0,498.0,0.49999950000050003
80,0.0,20.0,1.0,10.0,101.0,0.22532980874799502,14956.0,10.099989900010101
81,0.0,20.0,7.0,10.0,29.0,-0.0,2798.0,2.8999971000029
82,0.0,20.0,10.0,10.0,120.0,-0.0,7514.0,11.999988000012001
83,0.0,20.0,13.0,10.0,789.0,0.12650324391531922,71986.0,78.8999211000789
84,1.0,0.0,1.0,2.0,13.0,-0.0,1503.0,6.499967500162499
85,1.0,0.0,2.0,9.0,51.0,0.16544349608627487,4968.0,5.666660370377366
86,1.0,0.0,3.0,1.0,1.0,-0.0,137.0,0.9999900000999989
87,1.0,0.0,4.0,4.0,14.0,0.410116318288409,1436.0,3.4999912500218753
88,1.0,0.0,5.0,12.0,112.0,-0.0,9022.0,9.333325555562038
89,1.0,0.0,8.0,17.0,528.0,0.10115478134571185,48877.0,31.05880525952632
90,1.0,0.0,13.0,19.0,581.0,0.11616613671107479,50158.0,30.5789312742467
91,1.0,1.0,1.0,3.0,36.0,0.49260365753958385,4961.0,11.999960000133333
92,1.0,1.0,2.0,5.0,23.0,-0.0,1847.0,4.5999908000184
93,1.0,1.0,3.0,3.0,0.0,,362.0,0.0
94,1.0,1.0,4.0,4.0,13.0,-0.0,1079.0,3.2499918750203127
95,1.0,1.0,5.0,4.0,7.0,-0.0,942.0,1.7499956250109376
96,1.0,1.0,8.0,13.0,411.0,0.06488698375108606,36795.0,31.615360295876698
97,1.0,1.0,11.0,1.0,135.0,0.08737526693107206,22137.0,134.99865001349986
98,1.0,1.0,13.0,22.0,634.0,0.19876686641825392,62026.0,28.81816871901422
99,1.0,2.0,1.0,5.0,122.0,0.08364970461058928,17398.0,24.3999512000976
100,1.0,2.0,2.0,7.0,18.0,-0.0,1667.0,2.5714248979644316
101,1.0,2.0,3.0,3.0,2.0,-0.0,456.0,0.6666644444518518
102,1.0,2.0,5.0,8.0,41.0,1.2072178050180615,4328.0,5.124993593758008
103,1.0,2.0,8.0,6.0,332.0,0.06145123397128568,31190.0,55.33324111126482
104,1.0,2.0,13.0,17.0,453.0,0.5013378137580758,41801.0,26.647043148798147
105,1.0,3.0,1.0,1.0,23.0,-0.0,2093.0,22.999770002299975
106,1.0,3.0,2.0,3.0,25.0,-0.0,1899.0,8.333305555648147
107,1.0,3.0,3.0,1.0,1.0,-0.0,97.0,0.9999900000999989
108,1.0,3.0,4.0,2.0,0.0,,201.0,0.0
109,1.0,3.0,5.0,15.0,107.0,0.23806420196437875,9525.0,7.133328577780948
110,1.0,3.0,8.0,10.0,462.0,0.13507709975132248,41946.0,46.1999538000462
111,1.0,3.0,11.0,3.0,79.0,0.2288472780211024,11670.0,26.333245555848148
112,1.0,3.0,13.0,18.0,678.0,0.23659135021817845,59898.0,37.666645740752365
113,1.0,4.0,1.0,2.0,42.0,0.11251593411963928,3805.0,20.999895000524997
114,1.0,4.0,2.0,6.0,55.0,-0.0,4866.0,9.166651388914353
