,round,tube,tox,amount
0,0,0,0,0
1,0.0,0.0,1.0,128.7193829450763
2,0,0,2,700
3,0.0,0.0,3.0,184.56392895284068
4,0,0,4,700
5,0,0,5,700
6,0,0,6,700
7,0,0,7,700
8,0,0,8,0
9,0,0,9,0
10,0,1,0,0
11,0.0,1.0,1.0,120.26573939443921
12,0,1,2,700
13,0.0,1.0,3.0,176.93665666722328
14,0,1,4,700
15,0,1,5,700
16,0,1,6,700
17,0,1,7,700
18,0,1,8,0
19,0,1,9,0
20,0,2,0,0
21,0.0,2.0,1.0,128.03527306236603
22,0,2,2,700
23,0.0,2.0,3.0,183.9466930453345
24,0,2,4,700
25,0,2,5,700
26,0,2,6,700
27,0,2,7,700
28,0,2,8,0
29,0,2,9,0
