,round,tube,tox,amount
0,0.0,0.0,0.0,448.665623705688
1,0.0,0.0,1.0,0.0
2,0.0,0.0,2.0,532.4605548263653
3,0.0,0.0,3.0,0.0
4,0.0,0.0,4.0,0.0
5,0.0,0.0,5.0,77.01002142903666
6,0.0,0.0,6.0,700.0
7,0.0,0.0,7.0,522.9416728876362
8,0.0,0.0,8.0,0.0
9,0.0,0.0,9.0,407.9964157987068
10,0.0,1.0,0.0,232.8214361677076
11,0.0,1.0,1.0,373.01311801807316
12,0.0,1.0,2.0,661.3933238586205
13,0.0,1.0,3.0,0.0
14,0.0,1.0,4.0,0.0
15,0.0,1.0,5.0,570.5286761102244
16,0.0,1.0,6.0,4.990520118367789
17,0.0,1.0,7.0,570.3136044924162
18,0.0,1.0,8.0,0.0
19,0.0,1.0,9.0,555.6950192995905
20,0.0,2.0,0.0,0.0
21,0.0,2.0,1.0,0.0
22,0.0,2.0,2.0,406.08351901167646
23,0.0,2.0,3.0,245.42588943690987
24,0.0,2.0,4.0,617.1487055750205
25,0.0,2.0,5.0,18.56750952564895
26,0.0,2.0,6.0,398.3152979931061
27,0.0,2.0,7.0,700.0
28,0.0,2.0,8.0,0.0
29,0.0,2.0,9.0,0.0
30,0.0,3.0,0.0,677.8127025966359
31,0.0,3.0,1.0,565.2950023661153
32,0.0,3.0,2.0,417.6728610767897
33,0.0,3.0,3.0,610.8932552331831
34,0.0,3.0,4.0,442.7326232132504
35,0.0,3.0,5.0,668.0644820843695
36,0.0,3.0,6.0,655.8698129303235
37,0.0,3.0,7.0,700.0
38,0.0,3.0,8.0,441.61466085026115
39,0.0,3.0,9.0,688.7339922029113
40,0.0,4.0,0.0,117.0697638777092
41,0.0,4.0,1.0,177.86901826286768
42,0.0,4.0,2.0,522.7665974102719
43,0.0,4.0,3.0,471.79346545338893
44,0.0,4.0,4.0,564.2487878334406
45,0.0,4.0,5.0,588.6871375197798
46,0.0,4.0,6.0,0.0
47,0.0,4.0,7.0,101.39383574305946
48,0.0,4.0,8.0,251.63498949394085
49,0.0,4.0,9.0,412.30849973237224
50,0.0,5.0,0.0,673.6429971312218
51,0.0,5.0,1.0,584.9969190760966
52,0.0,5.0,2.0,458.85698834865485
53,0.0,5.0,3.0,251.90771390881957
54,0.0,5.0,4.0,48.47550742642482
55,0.0,5.0,5.0,700.0
56,0.0,5.0,6.0,524.4804228247465
57,0.0,5.0,7.0,700.0
58,0.0,5.0,8.0,0.0
59,0.0,5.0,9.0,648.4519355471341
60,0.0,6.0,0.0,0.0
61,0.0,6.0,1.0,585.0055298286045
62,0.0,6.0,2.0,452.6707557613251
63,0.0,6.0,3.0,0.0
64,0.0,6.0,4.0,0.0
65,0.0,6.0,5.0,700.0
66,0.0,6.0,6.0,697.409158216185
67,0.0,6.0,7.0,583.8143052063386
68,0.0,6.0,8.0,0.0
69,0.0,6.0,9.0,360.9703723920485
70,0.0,7.0,0.0,121.25444930974987
71,0.0,7.0,1.0,302.6264670933498
72,0.0,7.0,2.0,700.0
73,0.0,7.0,3.0,387.94095418167694
74,0.0,7.0,4.0,478.57425013270796
75,0.0,7.0,5.0,689.5845734659633
76,0.0,7.0,6.0,0.0
77,0.0,7.0,7.0,451.57285791134655
78,0.0,7.0,8.0,352.8127306812848
79,0.0,7.0,9.0,388.1905562500845
80,0.0,8.0,0.0,0.0
81,0.0,8.0,1.0,221.66912471453705
82,0.0,8.0,2.0,545.764820896132
83,0.0,8.0,3.0,205.3512441814259
84,0.0,8.0,4.0,700.0
85,0.0,8.0,5.0,517.308903602813
86,0.0,8.0,6.0,361.47888676970484
87,0.0,8.0,7.0,651.9869193473306
88,0.0,8.0,8.0,0.0
89,0.0,8.0,9.0,0.0
90,0.0,9.0,0.0,108.98259409195666
91,0.0,9.0,1.0,349.7769313872536
92,0.0,9.0,2.0,543.3872559313655
93,0.0,9.0,3.0,684.258580541467
94,0.0,9.0,4.0,67.38746494329358
95,0.0,9.0,5.0,604.9709882839682
96,0.0,9.0,6.0,30.951210766658548
97,0.0,9.0,7.0,370.6600853758443
98,0.0,9.0,8.0,649.8394241816746
99,0.0,9.0,9.0,28.57502893774517
100,0.0,10.0,0.0,646.6823034433138
101,0.0,10.0,1.0,700.0
102,0.0,10.0,2.0,247.95733391491427
103,0.0,10.0,3.0,453.16928274035826
104,0.0,10.0,4.0,0.0
105,0.0,10.0,5.0,619.9407187768777
106,0.0,10.0,6.0,456.96745338390497
107,0.0,10.0,7.0,526.8606578021131
108,0.0,10.0,8.0,366.22173739796136
109,0.0,10.0,9.0,0.0
110,0.0,11.0,0.0,531.287346247666
111,0.0,11.0,1.0,434.13057503261297
112,0.0,11.0,2.0,646.5850963103314
113,0.0,11.0,3.0,0.0
114,0.0,11.0,4.0,0.0
115,0.0,11.0,5.0,465.19835309422655
116,0.0,11.0,6.0,700.0
117,0.0,11.0,7.0,348.6044112484022
118,0.0,11.0,8.0,0.0
119,0.0,11.0,9.0,0.0
120,0.0,12.0,0.0,509.8851184303992
121,0.0,12.0,1.0,690.8106719756595
122,0.0,12.0,2.0,106.0410442461998
123,0.0,12.0,3.0,700.0
124,0.0,12.0,4.0,0.0
